# 0          References for Cross Section of C2H4      Total   
# Lambda = 1.00-100. A                                                            
#    Synthesized from cross sections of atomic constituents 4*H + 2*C             
#    Barfield, W. D., Koontz, G. D., Huebner W. F. (1972)                         
#    J. Quant. Spectr. Rad. Trans. 12, 1409                                       
# Lambda = 180.-700. A                                                            
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
# Lambda = 500.-1200. A                                                           
#    Schoen, R. I. (1962)                                                         
#    J. Chem. Phys. 37, 2032                                                      
# Lambda = 1065.-1960. A                                                          
#    Zelikoff, M., Watanabe, K. (1953)                                            
#    J. Opt. Soc. Am. 43, 756                                                     
#                                                                                 
# 0          References for Cross Section of C2H4      C2H4+   
# Lambda = 500.-1200. A                                                           
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
#                                                                                 
# 0          References for Cross Section of C2H4      C2H2+H2 
# Lambda = 500.-1200. A                                                           
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
#                                                                                 
# 0          References for Cross Section of C2H4      C2H3+H  
# Lambda = 500.-1200. A                                                           
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
#                                                                                 
# 0          References for Cross Section of C2H4      C2H2/2H 
# Branching ratios for dissociation:                                              
# Lambda = 1236.-1973. A                                                          
#    McNesby, J. R., Okabe, H. (1964)                                             
#    Adv. Photochem. 3, 157                                                       
# Lambda = 1550.-1900. A                                                          
#    Back, R. A., Griffiths, D. W. L. (1967)                                      
#    J. Chem. Phys. 46, 4839                                                      
# Threshold:                                                                      
#    For dissociation from heats of formation                                     
# Lambda = 1960. A                                                                
#                                                                                 
# 0 Branching ratio for C2H4     Total        5 branches
#  Lambda  Total   
    1.0 4.00E-23 
   10.0 4.60E-20 
   41.0 1.30E-19 
   43.0 8.70E-20 
   50.0 1.40E-19 
  100.0 6.80E-19 
  180.0 4.50E-18 
  200.0 5.00E-18 
  250.0 7.50E-18 
  300.0 1.20E-17 
  350.0 1.75E-17 
  400.0 2.45E-17 
  450.0 3.20E-17 
  500.0 3.80E-17 
  550.0 4.12E-17 
  564.0 4.25E-17 
  620.0 4.95E-17 
  689.0 5.60E-17 
  706.0 5.75E-17 
  775.0 5.40E-17 
  838.0 5.95E-17 
  882.0 4.75E-17 
  886.0 4.70E-17 
  898.0 4.48E-17 
  918.0 4.10E-17 
  945.0 3.92E-17 
  964.0 3.80E-17 
 1016.0 5.55E-17 
 1033.0 5.45E-17 
 1065.0 2.40E-17 
 1066.0 2.42E-17 
 1085.0 1.95E-17 
 1096.0 1.74E-17 
 1105.0 1.86E-17 
 1115.0 1.83E-17 
 1123.0 1.72E-17 
 1127.0 1.35E-17 
 1149.0 1.42E-17 
 1150.0 1.52E-17 
 1178.0 1.79E-17 
 1180.0 1.87E-17 
 1186.0 2.09E-17 
 1191.0 1.96E-17 
 1201.0 2.21E-17 
 1203.0 2.05E-17 
 1208.0 2.47E-17 
 1213.0 2.10E-17 
 1222.0 2.82E-17 
 1224.0 2.78E-17 
 1226.0 2.92E-17 
 1228.0 3.05E-17 
 1231.0 2.39E-17 
 1241.0 3.05E-17 
 1244.0 2.72E-17 
 1248.0 3.48E-17 
 1251.0 2.64E-17 
 1254.0 2.54E-17 
 1256.0 2.70E-17 
 1263.0 2.71E-17 
 1264.0 2.80E-17 
 1271.0 2.79E-17 
 1273.0 2.53E-17 
 1276.0 2.93E-17 
 1280.0 2.82E-17 
 1284.0 3.29E-17 
 1294.0 1.60E-17 
 1298.0 1.42E-17 
 1302.0 1.62E-17 
 1312.0 1.20E-17 
 1317.0 1.56E-17 
 1323.0 1.50E-17 
 1330.0 1.66E-17 
 1335.0 2.05E-17 
 1338.0 1.95E-17 
