# 0          References for Cross Section of CO2       Total   
# Cross section:                                                                  
# Lambda = 2.-270. A                                                              
#    Henry, R. J. W., McElroy, M. B. (1968)                                       
#    Photoelectrons in Planetary Atmospheres, in The Atmospheres of Venus and Mars
#    Brandt, J. C., McElroy, M. B. (eds.), Gordon Breach Science Publishers, Inc.,
#    New York, London, Paris                                                      
# Lambda = 303.78-555.26 A                                                        
#    Cairns, R. B., Samson, J. A. R. (1965)                                       
#    J. Geophys. Res. 70, 99                                                      
# Lambda = 580.-1670. A                                                           
#    Nakata, R. S., Watanabe, K., Matsunaga, F. M. (1965)                         
#    Science of Light 14, 54                                                      
#                                                                                 
# 0          References for Cross Section of CO2       sCO/O1D 
# sCO is equivalent to (singlet) CO (ground state)                                
# Lambda = 582.7a-902.9 A                                                         
#    Nakata, R. S., Watanabe, K., Matsunaga, F. M. (1965)                         
#    Science of Light 14, 54                                                      
#    (branching ratio for ionization and dissociation)                            
# Lambda = 851.0a-1090.0 A                                                        
#    Lawrence, G. M. (1972)                                                       
#    J. Chem. Phys. 56, 3435                                                      
#    (branching ratio for dissociation into singlet ground state and triplet      
#    pi metastable state)                                                         
#                                                                                 
# 0          References for Cross Section of CO2       CO2+    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
# Lambda = 580.-1670. A                                                           
#    Nakata, R. S., Watanabe, K., Matsunaga, F. M. (1965)                         
#    Science of Light 14, 54                                                      
#                                                                                 
# 0          References for Cross Section of CO2       CO+O    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of CO2       O+CO    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of CO2       C+O2    
# Lambda = 304.-639. A                                                            
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of CO2       sCO/O   
# sCO is equivalent to (singlet) CO (ground state)                                
# tCO is equivalent to (triplet) CO (a^3Pi state)                                 
#                                                                                 
# 0 Branching ratio for CO2      Total        7 branches
#  Lambda   CO2+  
    1.0  2.52E-22 
    4.0  3.08E-21 
    7.5  1.97E-20 
   12.5  7.31E-20 
   19.0  1.97E-19 
   26.9  2.65E-20 
   36.0  6.20E-20 
   51.5  1.48E-19 
   72.5  2.97E-19 
   93.0  5.67E-19 
  120.5  9.92E-19 
  151.5  2.11E-18 
  172.5  5.92E-18 
  185.0  1.06E-17 
  197.5  1.10E-17 
  212.5  1.15E-17 
  230.0  1.58E-17 
  250.0  1.73E-17 
  257.0  1.77E-17 
  270.0  1.82E-17 
  303.8  1.77E-17 
  435.0  2.23E-17 
  507.4  2.61E-17 
  507.7  2.61E-17 
  508.2  2.51E-17 
  522.2  2.60E-17 
  525.8  2.72E-17 
  537.0  2.74E-17 
  553.3  2.93E-17 
  554.1  2.63E-17 
  554.5  2.88E-17 
  555.3  2.94E-17 
  582.7  1.84E-17 
  585.2  1.93E-17 
  590.0  1.96E-17 
  605.0  2.13E-17 
  610.0  2.13E-17 
  615.0  2.26E-17 
  620.0  2.04E-17 
  625.0  2.00E-17 
  630.0  1.98E-17 
  636.9  1.99E-17 
  640.0  2.01E-17 
  650.0  2.01E-17 
  659.5  1.97E-17 
  665.0  2.01E-17 
  670.0  1.97E-17 
  675.0  2.08E-17 
  677.0  2.05E-17 
  680.0  1.86E-17 
  682.0  2.01E-17 
  683.0  2.23E-17 
  685.0  2.19E-17 
  686.0  1.93E-17 
  687.0  2.23E-17 
  688.7  2.23E-17 
  689.3  2.27E-17 
  689.6  2.34E-17 
  690.0  1.60E-17 
  690.4  2.49E-17 
  690.9  1.79E-17 
  691.5  2.53E-17 
  692.1  1.49E-17 
  692.4  2.71E-17 
  692.9  2.57E-17 
  693.2  1.90E-17 
  693.6  1.30E-17 
  694.1  3.61E-17 
  694.4  2.45E-17 
  694.8  2.98E-17 
  695.7  1.67E-17 
  696.2  1.82E-17 
  696.6  4.17E-17 
  697.0  2.12E-17 
  697.3  2.08E-17 
  697.8  2.01E-17 
  698.5  1.71E-17 
  699.0  1.49E-17 
  699.5  1.64E-17 
  700.0  1.75E-17 
  700.5  6.17E-17 
  701.4  1.86E-17 
  701.9  1.93E-17 
  702.3  3.38E-17 
  703.0  1.93E-17 
  703.6  1.90E-17 
  704.1  1.71E-17 
  704.6  1.97E-17 
  705.0  1.82E-17 
  705.8  1.60E-17 
  706.3  1.82E-17 
  707.0  6.32E-17 
  707.6  3.16E-17 
  708.0  1.93E-17 
